"[100, 7]",0.817307026652821,0.8234637650833507,0.8218358831710709,0.8148301574150786,0.8246923821374257,0.820455808782657,0.818957080945058
0.8225446428571428,"[81, 6]",0.870736329182458,0.8825061694543461,0.8559191124842017,0.8718949848535846,0.8819901315789475,0.8827878953854581
0.8819577735124761,0.8554986314829109,"[87, 7]",0.7606923506420994,0.8101662654649275,0.8115860832539639,0.81145157682845,0.8107442641298266
0.8113767426235933,0.8133848133848134,0.8089547214273691,"[96, 9]",0.9271668822768434,0.9198843559267587,0.9198816872427983,0.9210237895686931
0.9310434219053791,0.9304951651632163,0.9270436187399032,0.9300876338851022,"[96, 8]",0.944489247311828,0.945628066402312,0.9444967074317968
0.941042780748663,0.945273631840796,0.9498989898989899,0.9471344871708532,0.9542810766941702,"[91, 9]",0.935345944545219,0.9387121799844841
0.9340447415788119,0.9302024710524613,0.9345337620578779,0.9339938239835306,0.9373865698729582,0.9343197169507881,"[89, 5]",0.9041741783386492
0.9048344646072863,0.9192642516147149,0.9047586063586618,0.918884753142777,0.904250156000832,0.9189910770744045,0.9049334811529933,"[88, 7]"
0.903114186851211,0.9019931271477664,0.9025563496426608,0.9030516919244344,0.8984509466437178,0.9038022023685851,0.9038022023685851,0.8878015630309208
"[93, 7]",0.832268473701194,0.8314824380165289,0.8313634308596525,0.8322459789419288,0.832751712550084,0.8319989669421489,0.8318584070796461
0.8301546391752579,"[80, 5]",0.9221713538260301,0.9207369042155641,0.9215455140798953,0.9216058680987621,0.920959496657491,0.9213350785340314
0.922162726916547,0.9219886028689329,"[90, 8]",0.8906792610084734,0.8907411266236022,0.8905707540619358,0.8907107621760577,0.8905870093782564
0.890633685380767,0.8906184850590688,0.890633685380767,"[82, 5]",0.7558456371586085,0.807252553954401,0.8067045147337117,0.7801287948482061
0.8062204192021636,0.8036368571040848,0.80763723150358,0.8064974619289339,"[71, 9]",0.7955168713485156,0.8417207280972476,0.8414365683376314
0.8718015495800507,0.84515231955505,0.8395557507686515,0.8286210317460317,0.8464306002651012,"[71, 6]",0.8261996497373031,0.8373609241017645
0.84699964067553,0.8270183518247156,0.8370643241711533,0.8489983485316291,0.8398683457355468,0.8415728736287221,"[88, 8]",0.8839268018761973
