"[56, 6]",0.8429385687143762,0.8529812427957666,0.8535819019689987,0.8424498416050686,0.853489834416265,0.8536662121053185,0.8536713103592752
0.8535819019689987,"[61, 3]",0.8121788034519539,0.812657247919489,0.819886527550726,0.8120622568093386,0.8132739938080494,0.8125423400754863
0.8195553844673276,0.8133526850507983,"[59, 3]",0.8190786128343334,0.8170212765957446,0.8184778184778184,0.8190786128343334,0.8166497461928934
0.8182359952324195,0.8157631526305261,0.8177289824133372,"[63, 5]",0.8315778043218591,0.8345104857111811,0.8361545138888888,0.8349978289188016
0.837289972899729,0.8360282148670646,0.8361545138888888,0.8360282148670646,"[63, 3]",0.8093513335528483,0.8131291028446389,0.8194580476656872
0.8170824708573918,0.8129992340518657,0.8137704918032787,0.819971717611226,0.8207301173402869,"[67, 4]",0.7839546544582515,0.7836000877000657
0.7828558932866826,0.7839446067294168,0.7836270110539564,0.7837483617300132,0.7814932573182763,0.7850772242767021,"[65, 3]",0.8136263225206372
0.8289988492520137,0.8287458251756307,0.8140668523676879,0.829364161849711,0.8247990815154994,0.8274753043877785,0.8304753136149153,"[72, 3]"
0.7802786709539121,0.7823178016726403,0.7807807807807807,0.7814410742117252,0.7796934865900382,0.7796934865900382,0.7796934865900382,0.7828994506806782
"[62, 5]",0.8503986571548469,0.8513811574414452,0.8513811574414452,0.8502780400797398,0.8513811574414452,0.8513811574414452,0.8513811574414452
0.8513811574414452,"[70, 2]",0.8264020515107592,0.8273172905525847,0.8273172905525847,0.8270559393804323,0.8273172905525847,0.8273172905525847
0.8273172905525847,0.8273172905525847,"[62, 5]",0.8453903416682573,0.8453470633104501,0.8442201485431347,0.8455672068636798,0.844041944709247
0.8453470633104501,0.8453470633104501,0.8453470633104501,"[56, 4]",0.8418145956607493,0.8423650182607838,0.8423650182607838,0.8382961940445671
0.8425414364640884,0.8409538825384313,0.8423650182607838,0.8416173570019725,"[60, 4]",0.8172018608873255,0.8157065706570656,0.8158518685785254
0.8224952101882114,0.8111350005658029,0.8135363790186124,0.8110182885527207,0.8152320865254619,"[68, 4]",0.8201026856240127,0.8127663792248984
0.8122461111661549,0.8192101607461798,0.8121104185218165,0.8107358621372684,0.8128405825819875,0.8108482628922102,"[58, 4]",0.8461538461538463
0.8468374281233664,0.8392614999478459,0.8476240208877285,0.845309068089112,0.8468374281233664,0.8475463011405252,0.8448941274642746,"[61, 7]"
0.8446167611094543,0.8459322538988775,0.8552845528455284,0.8465125508482984,0.8465807730426165,0.8457029309488324,0.8455962665077947,0.8455962665077947
"[56, 3]",0.8559239868140391,0.8553154375423976,0.8541021671826625,0.8581684128831975,0.8553459119496856,0.854846518834124,0.8561756456136957
0.8552657004830918,"[53, 4]",0.831772816133347,0.8228820598006645,0.8247144340602285,0.8285565398645128,0.8259378572170841,0.8265422498703993
0.8263135946622185,0.8243496357960457,"[60, 2]",0.8356719088426405,0.8449106889707967,0.837470280551593,0.8379476518945479,0.837470280551593
0.844553706505295,0.8387648456057007,0.8437884378843787,"[64, 4]",0.7969910121141072,0.7903319743739079,0.7903319743739079,0.793684826040347
0.7903319743739079,0.7899485786358785,0.7903319743739079,0.7912536443148688,"[55, 5]",0.833266129032258,0.8358601172427734,0.8338570704510896
0.8313216350542653,0.8338570704510896,0.8346823148522865,0.8346823148522865,0.8356247472705216,"[72, 3]",0.829912798379283,0.8312764456981665
0.8321000704721636,0.8293626373626375,0.8321000704721636,0.8321000704721636,0.8312764456981665,0.8312764456981665,"[59, 7]",0.866168263662209
0.8594611463642984,0.8594611463642984,0.8610014543943486,0.8592484949138468,0.8593100581878638,0.8596673596673597,0.8596053997923159,"[67, 5]"
0.851814311777823,0.852794968043015,0.852794968043015,0.8493651599796851,0.852794968043015,0.852794968043015,0.852794968043015,0.852794968043015
"[58, 6]",0.8564003849855631,0.839817147121933,0.842978287205293,0.8433043156140025,0.8455569924256421,0.8461396720103188,0.8626090218512614
0.8395612567391708,"[63, 5]",0.8556117290192113,0.8471015956372451,0.8471253915327877,0.851393500352148,0.8444174511590242,0.8483809139513769
0.8483197093551318,0.8475363489499191,"[67, 3]",0.8483556638246041,0.8473513950667205,0.8438158290701174,0.8456783868679704,0.8473513950667205
0.8438158290701174,0.8438158290701174,0.8438158290701174,"[58, 5]",0.8551569048349177,0.8562385133755361,0.8562385133755361,0.8554092965857671
0.8562385133755361,0.85483541198119,0.8535990239934934,0.8532492626868708,"[62, 4]",0.8386111393951736,0.8260735881930922,0.8273669094266078
0.8322231473771857,0.8295833333333333,0.8286429018136335,0.8277276456111566,0.8284862809577639,"[65, 3]",0.8559945103421233,0.8564715096925788
0.8567231417099207,0.8587592664845884,0.8567231417099207,0.8564715096925788,0.8564715096925788,0.8567231417099207,"[71, 3]",0.7880816150275289
0.7939178259462957,0.7939178259462957,0.7889333189235924,0.7939178259462957,0.7939178259462957,0.7939178259462957,0.7939178259462957,"[62, 4]"
