"[63, 6]",0.8397673188789,0.8504672897196263,0.8467995802728226,0.8481345244351025,0.8503118503118503,0.8393234672304439,0.850909090909091
0.8503118503118503,"[72, 1]",0.7543859649122807,0.7543859649122807,0.7543859649122807,0.7539969056214543,0.7543859649122807,0.7543859649122807
0.7543859649122807,0.7543859649122807,"[74, 5]",0.8348848603625673,0.8366846493379108,0.8366846493379108,0.8344760039177276,0.8366846493379108
0.8362745098039216,0.8362745098039216,0.8362745098039216,"[67, 2]",0.8175105485232067,0.8200527704485489,0.8200527704485489,0.8164124145186743
0.8200527704485489,0.8200527704485489,0.8204857444561774,0.8204857444561774,"[69, 2]",0.727707959305805,0.746321365509123,0.7382789317507419
0.7390272835112692,0.746321365509123,0.725748502994012,0.726946107784431,0.746321365509123,"[62, 6]",0.8072164948453607,0.8029121164846594
0.8031249999999999,0.7983453981385729,0.8022892819979189,0.8020779220779221,0.8029121164846594,0.8014553014553014,"[66, 5]",0.7957446808510639
0.8323119777158774,0.8337053571428571,0.8286189683860233,0.7991452991452991,0.8323119777158774,0.8323119777158774,0.797860962566845,"[66, 5]"
0.794425087108014,0.8009367681498829,0.7930232558139535,0.7928032501450957,0.7935034802784223,0.7928032501450957,0.7942028985507247,0.8009367681498829
"[74, 5]",0.8024149286498353,0.8044077134986225,0.8048378229796591,0.8048378229796591,0.8048378229796591,0.8050660792951543,0.8054945054945055
0.8043956043956043,"[62, 5]",0.8201516793066088,0.8386376326074819,0.8364042434394193,0.8058035714285715,0.8397543271915131,0.8366890380313199
0.8405797101449274,0.8363028953229399,"[70, 4]",0.7497089639115251,0.7526132404181185,0.7540603248259861,0.7455279861511829,0.7508690614136733
0.7526132404181185,0.7526011560693642,0.7547826086956522,"[70, 3]",0.7533936651583711,0.7573033707865168,0.7655288192501398,0.7628169014084507
0.7440836543753439,0.748768472906404,0.7695749440715883,0.7392739273927392,"[65, 5]",0.8079847908745248,0.8076009501187649,0.8076009501187649
0.8076009501187649,0.8076009501187649,0.8072174738841404,0.8076009501187649,0.8076009501187649,"[66, 4]",0.7489495798319328,0.708043694141013
